"","cancer_study_id","name","description"
"1","paac_jhu_2014","Acinar Cell Carcinoma of the Pancreas (Johns Hopkins, J Pathol 2014)","Mutation data from whole exome sequencing of 23 surgically resected pancreatic carcinomas with acinar differentiation."
"2","laml_tcga_pub","Acute Myeloid Leukemia (TCGA, NEJM 2013)","TCGA Acute Myeloid Leukemia, analysis of 200 adult cases; raw data at the <A HREF=""https://tcga-data.nci.nih.gov/tcga/tcgaCancerDetails.jsp?diseaseType=LAML&diseaseName=Acute%20Myeloid%20Leukemia"">NCI</A>."
"3","laml_tcga","Acute Myeloid Leukemia (TCGA, Provisional)","TCGA Acute Myeloid Leukemia; raw data at the <A HREF=""https://tcga-data.nci.nih.gov/"">NCI</A>."
"4","acyc_fmi_2014","Adenoid Cystic Carcinoma (FMI, Am J Surg Pathl. 2014)","Comprehensive genomic profiling of 28 metastatic ACCs."
"5","acyc_mda_2015","Adenoid Cystic Carcinoma (MDA, Clin Cancer Res 2015)","WGS of 21 salivary ACCs and targeted molecular analyses of a validation set (81 patients)."
"6","acyc_mskcc_2013","Adenoid Cystic Carcinoma (MSKCC, Nat Genet 2013)","Exome profiling of 60 adenoid cystic carcinoma samples"
"7","acyc_sanger_2013","Adenoid Cystic Carcinoma (Sanger/MDA, JCI 2013)","Whole exome sequencing of 24 ACCs."
"8","acbc_mskcc_2015","Adenoid Cystic Carcinoma of the Breast (MSKCC, J Pathol. 2015)","Whole exome sequencing of 12 breast AdCCs."
"9","acc_tcga","Adrenocortical Carcinoma (TCGA, Provisional)","TCGA Adrenocortical Carcinoma; raw data at the <A HREF=""https://tcga-data.nci.nih.gov/"">NCI</A>."
"10","blca_mskcc_solit_2014","Bladder Cancer (MSKCC, Eur Urol 2014)","Genomic Predictors of Survival in Patients with High-grade Urothelial Carcinoma of the Bladder. Targeted sequencing of 109 tumor samples (MSKCC, European Urology 2014)."
"11","blca_mskcc_solit_2012","Bladder Cancer (MSKCC, JCO 2013)","Comprehensive profiling of 97 bladder cancer samples, including targeted sequencing of 15 cancer genes. Iyer et al., JCO in press."
"12","blca_plasmacytoid_mskcc_2016","Bladder Cancer, Plasmacytoid Variant (MSKCC, Nat Genet 2016)","Genomic profiling of plasmacytoid-variant (signet ring cell) tumors of the bladder, published set"
"13","blca_bgi","Bladder Urothelial Carcinoma (BGI, Nat Genet 2013)","Exome and whole-genome sequencing of 99 bladder cancer samples. Generated by BGI."
"14","blca_dfarber_mskcc_2014","Bladder Urothelial Carcinoma (Dana Farber & MSKCC, Cancer Discov 2014)","Whole exome sequencing of 50 patients with muscle invasive urothelial carcinoma"
"15","blca_tcga_pub","Bladder Urothelial Carcinoma (TCGA, Nature 2014)","TCGA Bladder Cancer, containing 131 samples; raw data at the NCI."
"16","blca_tcga","Bladder Urothelial Carcinoma (TCGA, Provisional)","TCGA Bladder Urothelial Carcinoma; raw data at the <A HREF=""https://tcga-data.nci.nih.gov/"">NCI</A>."
"17","lgg_tcga","Brain Lower Grade Glioma (TCGA, Provisional)","TCGA Brain Lower Grade Glioma; raw data at the <A HREF=""https://tcga-data.nci.nih.gov/"">NCI</A>."
"18","brca_metabric","Breast Cancer (METABRIC, Nature 2012 & Nat Commun 2016)","The genomic profiles (somatic mutations [targeted sequencing], copy number alterations, and gene expression) of 2509 breast cancers."
"19","brca_bccrc","Breast Invasive Carcinoma (British Columbia, Nature 2012)","Comprehensive profiling of 65 breast cancer samples. Generated by the British Columbia Cancer Research Centre."
"20","brca_broad","Breast Invasive Carcinoma (Broad, Nature 2012)","Comprehensive profiling of 103 breast cancer samples. Generated by the Broad Institute."
"21","brca_sanger","Breast Invasive Carcinoma (Sanger, Nature 2012)","Comprehensive profiling of 100 breast cancer samples. Generated by the Sanger Institute."
"22","brca_tcga_pub2015","Breast Invasive Carcinoma (TCGA, Cell 2015)","<a href=""http://cancergenome.nih.gov/"">The Cancer Genome Atlas (TCGA)</a> Breast Invasive Carcinoma project. 817 cases (TCGA Cell 2015)."
"23","brca_tcga_pub","Breast Invasive Carcinoma (TCGA, Nature 2012)","<a href=""http://cancergenome.nih.gov/"">The Cancer Genome Atlas (TCGA)</a> Breast Invasive Carcinoma project. 825 cases.<br><i>Nature 2012.</i> <a href=""https://tcga-data.nci.nih.gov/docs/publications/brca_2012/"">Raw data via the TCGA Data Portal</a>."
"24","brca_tcga","Breast Invasive Carcinoma (TCGA, Provisional)","TCGA Breast Invasive Carcinoma; raw data at the <A HREF=""https://tcga-data.nci.nih.gov/"">NCI</A>."
"25","brca_bccrc_xenograft_2014","Breast cancer patient xenografts (British Columbia, Nature 2014)","Dynamics of genomic clones in breast cancer patient xenografts."
"26","cellline_ccle_broad","Cancer Cell Line Encyclopedia (Novartis/Broad, Nature 2012)","Cancer Cell Line Encyclopedia from the Broad Institute and Novartis, containing 883 samples; raw data at the <A HREF=""http://www.broadinstitute.org/ccle/data/browseData?conversationPropagation=begin"">CCLE</A>."
"27","cesc_tcga","Cervical Squamous Cell Carcinoma and Endocervical Adenocarcinoma (TCGA, Provisional)","TCGA Cervical Squamous Cell Carcinoma and Endocervical Adenocarcinoma; raw data at the <A HREF=""https://tcga-data.nci.nih.gov/"">NCI</A>."
"28","chol_nccs_2013","Cholangiocarcinoma (National Cancer Centre of Singapore, Nat Genet 2013)","Exome sequencing of 15 cholangiocarcinoma cases from the National Cancer Centre of Singapore to study the somatic mutations."
"29","chol_nus_2012","Cholangiocarcinoma (National University of Singapore, Nat Genet 2012)","Exome Sequencing for Opisthorchis viverrini-related cholangiocarcinoma in 8 O.viverrini-related tumors and matched normal tissue."
"30","chol_tcga","Cholangiocarcinoma (TCGA, Provisional)","TCGA Cholangiocarcinoma; raw data at the <A HREF=""https://tcga-data.nci.nih.gov/"">NCI</A>."
"31","lcll_broad_2013","Chronic Lymphocytic Leukemia (Broad, Cell 2013)","Exome sequencing of 160 CLL samples. Generated by the Broad Institute."
"32","cll_iuopa_2015","Chronic Lymphocytic Leukemia (IUOPA, Nature 2015)","Mutation data from whole-genome or whole-exome sequencing (WGS/WXS) of 428 CLL, 54 MBL, and 24 SLL samples."
"33","ccrcc_utokyo_2013","Clear Cell Renal Cell Carcinoma (U Tokyo, Nat Genet 2013)","Mutation data from whole genome and/or whole exome sequencing of 106 clear-cell renal cell carcinoma samples."
"34","coadread_dfci_2016","Colorectal Adenocarcinoma (DFCI, Cell Reports 2016)","Whole-exome sequencing of 619 colorectal cancers with clinicopathologic annotations."
"35","coadread_genentech","Colorectal Adenocarcinoma (Genentech, Nature 2012)","Comprehensive profiling of 72 colon cancer samples. Generated by Genentech."
"36","coadread_tcga_pub","Colorectal Adenocarcinoma (TCGA, Nature 2012)","<a href=""http://cancergenome.nih.gov/"">The Cancer Genome Atlas (TCGA)</a> Colorectal Cancer project. <br><i>Nature 2012.</i> <a href=""https://tcga-data.nci.nih.gov/docs/publications/coadread_2012/"">Raw data via the TCGA Data Portal</a>."
"37","coadread_tcga","Colorectal Adenocarcinoma (TCGA, Provisional)","TCGA Colorectal Adenocarcinoma; raw data at the <A HREF=""https://tcga-data.nci.nih.gov/"">NCI</A>."
"38","coadread_mskcc","Colorectal Adenocarcinoma Triplets (MSKCC, Genome Biol 2014)","Colon Trios data from 69 Patients each with a  primary and metastatic tumor. (Primary / Met) (David Solit / Evi Vakiani / Michael Berger, MSKCC)"
"39","ctcl_columbia_2015","Cutaneous T Cell Lymphoma (Columbia U, Nat Genet 2015)","Whole-Exome Sequencing (WXS) of tumor-normal sample pairs from 25 patients with Sezary Syndrome and 17 patients with other Cutaneous T Cell Lymphoma (CTCLs)."
"40","cscc_dfarber_2015","Cutaneous squamous cell carcinoma (DFCI, Clin Cancer Res 2015)","Targeted sequencing of 504 cancer-associated genes in 29 cutaneous squamous cell carcinoma samples"
"41","desm_broad_2015","Desmoplastic Melanoma (Broad Institute, Nat Genet 2015)","Mutation data from Exome/Whole Genome sequencing of 20 desmoplastic melanoma cases."
"42","dlbc_broad_2012","Diffuse Large B-Cell Lymphoma (Broad, PNAS 2012)","Whole exome sequencing of 58 DLBCL samples."
"43","esca_broad","Esophageal Adenocarcinoma (Broad, Nat Genet 2013)","Comprehensive profiling of 149 esophageal adenocarcinoma samples from the Broad Institute."
"44","esca_tcga","Esophageal Carcinoma (TCGA, Provisional)","TCGA Esophageal Carcinoma ; raw data at the <A HREF=""https://tcga-data.nci.nih.gov/"">NCI</A>."
"45","escc_icgc","Esophageal Squamous Cell Carcinoma (ICGC, Nature 2014)","WGS and WES of 88 esophageal squamous cell carcinoma samples. Generated by ICGC."
"46","escc_ucla_2014","Esophageal Squamous Cell Carcinoma (UCLA, Nat Genet 2014)","Whole exome sequencing (WXS) or targeted deep sequencing (TDS) of 139 paired esophageal squamous cell carcinoma patients."
"47","es_iocurie_2014","Ewing Sarcoma (Institut Cuire, Cancer Discov 2014)","Mutation data from whole-genome sequencing of 112 Ewing sarcoma samples and matched germ line DNA. <a href=""http://cancerdiscovery.aacrjournals.org/content/4/11/1342/suppl/DC1"">"
"48","gbc_shanghai_2014","Gallbladder Carcinoma (Shanghai, Nat Genet 2014)","Mutation data from whole exome sequencing of 32 gallbladder carcinoma tumors with paired normals"
"49","egc_tmucih_2015","Gastric Adenocarcinoma (TMUCIH, PNAS 2015)","Whole-exome sequencing on 78 Gastric Adenocarcinoma of differing histologies and anatomic locations"
"50","gbm_tcga_pub2013","Glioblastoma (TCGA, Cell 2013)","<a href=""http://cancergenome.nih.gov/"">The Cancer Genome Atlas (TCGA)</a> Glioblastoma project.<br> <a href=""http://tcga-data.nci.nih.gov/tcga/"">Raw data via the TCGA Data Portal</a>."
"51","gbm_tcga_pub","Glioblastoma (TCGA, Nature 2008)","<a href=""http://cancergenome.nih.gov/"">The Cancer Genome Atlas (TCGA)</a> Glioblastoma project. 206 primary glioblastoma samples.<br> <a href=""https://tcga-data.nci.nih.gov/docs/publications/gbm_2008/"">Raw data via the TCGA Data Portal</a>."
"52","gbm_tcga","Glioblastoma Multiforme (TCGA, Provisional)","TCGA Glioblastoma Multiforme; raw data at the <A HREF=""https://tcga-data.nci.nih.gov/"">NCI</A>."
"53","hnsc_broad","Head and Neck Squamous Cell Carcinoma (Broad, Science 2011)","Comprehensive profiling of 74 head and neck squamous cell carcinoma samples from the Broad Institute."
"54","hnsc_jhu","Head and Neck Squamous Cell Carcinoma (Johns Hopkins, Science 2011)","Comprehensive profiling of 32 head and neck squamous cell carcinoma samples from Johns Hopkins."
"55","hnsc_tcga_pub","Head and Neck Squamous Cell Carcinoma (TCGA, Nature 2015)","TCGA Head and Neck Squamous Cell Carcinoma, containing 279 samples; raw data at the <A HREF=""https://tcga-data.nci.nih.gov/tcga/tcgaCancerDetails.jsp?diseaseType=HNSC&diseaseName=Head and Neck Squamous Cell Carcinoma"">NCI</A>."
"56","hnsc_tcga","Head and Neck Squamous Cell Carcinoma (TCGA, Provisional)","TCGA Head and Neck Squamous Cell Carcinoma; raw data at the <A HREF=""https://tcga-data.nci.nih.gov/"">NCI</A>."
"57","liad_inserm_fr_2014","Hepatocellular Adenoma (Inserm, Cancer Cell 2014)","Mutation data from whole-exome sequencing (WXS) of 46 liver tumor and corresponding nontumor DNA."
"58","all_stjude_2013","Hypodiploid Acute Lymphoid Leukemia (St Jude, Nat Genet 2013)","Exome sequencing of 44 ALL samples."
"59","all_stjude_2015","Infant MLL-Rearranged Acute Lymphoblastic Leukemia (St Jude, Nat Genet 2015)","Whole genome sequencing (WGS) of 22 infant MLL-rearranged acute lymphoblastic leukemia (MLL-R ALL) cases"
"60","panet_shanghai_2013","Insulinoma (Shanghai, Nat Commun 2013)","Whole exome sequencing of 10 benign insulinoma tumors. <A HREF=""http://www.nature.com/ncomms/2013/131210/ncomms3810/extref/ncomms3810-s1.pdf"">"
"61","chol_jhu_2013","Intrahepatic Cholangiocarcinoma (Johns Hopkins University, Nat Genet 2013)","Exome Sequencing of 32 intrahepatic cholangiocarcinoma cases and 8 gall bladder carcinoma cases."
"62","kich_tcga_pub","Kidney Chromophobe (TCGA, Cancer Cell 2014)","TCGA Kidney Chromophobe; raw data at the <A HREF=""https://tcga-data.nci.nih.gov/tcga/tcgaCancerDetails.jsp?diseaseType=KICH&diseaseName=Kidney Chromophobe"">NCI</A>."
"63","kich_tcga","Kidney Chromophobe (TCGA, Provisional)","TCGA Kidney Chromophobe; raw data at the <A HREF=""https://tcga-data.nci.nih.gov/"">NCI</A>."
"64","kirc_bgi","Kidney Renal Clear Cell Carcinoma (BGI, Nat Genet 2012)","Comprehensive sequencing of 98 clear cell kidney cancer samples. Generated by BGI-Shenzhen."
"65","kirc_tcga_pub","Kidney Renal Clear Cell Carcinoma (TCGA, Nature 2013)","TCGA Kidney Renal Clear Cell Carcinoma, containing 499 samples; raw data at the <A HREF=""https://tcga-data.nci.nih.gov/tcga/tcgaCancerDetails.jsp?diseaseType=KIRC&diseaseName=Kidney Renal Clear Cell Carcinoma"">NCI</A>."
"66","kirc_tcga","Kidney Renal Clear Cell Carcinoma (TCGA, Provisional)","TCGA Kidney Renal Clear Cell Carcinoma; raw data at the <A HREF=""https://tcga-data.nci.nih.gov/"">NCI</A>."
"67","kirp_tcga","Kidney Renal Papillary Cell Carcinoma (TCGA, Provisional)","TCGA Kidney Renal Papillary Cell Carcinoma; raw data at the <A HREF=""https://tcga-data.nci.nih.gov/"">NCI</A>."
"68","lihc_amc_prv","Liver Hepatocellular Carcinoma (AMC, Hepatology 2014)","Liver Hepatocellular Carcinoma from Asan Medical Center, Korea, containing 231 samples."
"69","lihc_riken","Liver Hepatocellular Carcinoma (RIKEN, Nat Genet 2012)","Whole-genome sequencing of 27 hepatocellular carcinoma samples from RIKEN."
"70","lihc_tcga","Liver Hepatocellular Carcinoma (TCGA, Provisional)","TCGA Liver Hepatocellular Carcinoma; raw data at the <A HREF=""https://tcga-data.nci.nih.gov/"">NCI</A>."
"71","lgg_ucsf_2014","Low-Grade Gliomas (UCSF, Science 2014)","Mutation data from whole exome sequencing of 23 grade II glioma patients."
"72","luad_broad","Lung Adenocarcinoma (Broad, Cell 2012)","Comprehensive profiling of 183 lung adenocarcinoma samples. Generated by the Broad Institute."
"73","luad_mskcc_2015","Lung Adenocarcinoma (MSKCC 2015)","Whole-exome sequencing of non small cell lung cancers treated with pembrolizumab"
